generation, mean_fitness, parameter, parameter_value
6, 16.112589035485957, pop_size, 15
7, 18.373967749203068, pop_size, 15
8, 20.13959502111596, pop_size, 15
9, 20.720670132660423, pop_size, 15
10, 21.21968431591686, pop_size, 15
11, 23.138406648720384, pop_size, 15
12, 24.029315139264927, pop_size, 15
13, 27.311497936584527, pop_size, 15
14, 26.657715343149725, pop_size, 15
15, 28.207278139927293, pop_size, 15
16, 30.018970383306975, pop_size, 15
17, 29.12266078213749, pop_size, 15
18, 30.957447249410794, pop_size, 15
19, 32.074281171851695, pop_size, 15
0, 5.951642593247196, pop_size, 16
1, 7.340133769008281, pop_size, 16
2, 13.470539343887042, pop_size, 16
3, 12.92347613300702, pop_size, 16
4, 13.840706730743165, pop_size, 16
5, 16.849198588941093, pop_size, 16
6, 16.93130796542244, pop_size, 16
7, 16.681768340044513, pop_size, 16
8, 18.828743946250885, pop_size, 16
9, 19.360432933971126, pop_size, 16
10, 19.684386999686126, pop_size, 16
11, 21.14146780723139, pop_size, 16
12, 21.614169750893414, pop_size, 16
13, 23.69622830084794, pop_size, 16
14, 23.516606182821878, pop_size, 16
15, 25.279873339901847, pop_size, 16
16, 24.91429244997525, pop_size, 16
17, 26.722877530841753, pop_size, 16
18, 27.625369623081333, pop_size, 16
19, 27.751518089366055, pop_size, 16
0, 5.940139212407566, pop_size, 17
1, 7.835799862633259, pop_size, 17
2, 11.21807129657964, pop_size, 17
3, 12.95383293304496, pop_size, 17
4, 14.543448524943216, pop_size, 17
5, 14.519108678781679, pop_size, 17
6, 15.770029330922098, pop_size, 17
7, 16.78304860475191, pop_size, 17
8, 18.248873756226658, pop_size, 17
9, 19.691732451392596, pop_size, 17
10, 22.269694806848303, pop_size, 17
11, 22.409409496870484, pop_size, 17
12, 22.30186848131556, pop_size, 17
13, 24.101982403405135, pop_size, 17
14, 23.337110727588367, pop_size, 17
15, 24.886986456351593, pop_size, 17
16, 25.34689948831826, pop_size, 17
17, 28.13712353910767, pop_size, 17
18, 27.006131002400174, pop_size, 17
19, 29.31512313220025, pop_size, 17
0, 6.390086467116758, pop_size, 18
1, 6.6420234500739035, pop_size, 18
2, 13.535211037262501, pop_size, 18
3, 15.214067070596347, pop_size, 18
4, 15.875516233629204, pop_size, 18
5, 16.837620239788876, pop_size, 18
6, 18.187678483693766, pop_size, 18
7, 17.64653315106272, pop_size, 18
8, 20.030302243843423, pop_size, 18
9, 20.742210438977196, pop_size, 18
10, 21.343583733689947, pop_size, 18
11, 22.616665718485393, pop_size, 18
12, 22.22400430656529, pop_size, 18
13, 24.07111264550494, pop_size, 18
14, 25.11089745233834, pop_size, 18
15, 26.696936414207812, pop_size, 18
16, 27.65870525249073, pop_size, 18
17, 27.346029471305975, pop_size, 18
18, 28.52520712760808, pop_size, 18
19, 29.680930070086585, pop_size, 18
0, 6.141015557769075, pop_size, 19
1, 6.659286613659539, pop_size, 19
2, 9.388763475034686, pop_size, 19
3, 10.976182774156841, pop_size, 19
4, 12.229781169860061, pop_size, 19
5, 11.862801232797784, pop_size, 19
6, 13.182423096321578, pop_size, 19
7, 12.815042130299956, pop_size, 19
8, 13.034821383145905, pop_size, 19
9, 13.374827463392291, pop_size, 19
10, 13.579532723224403, pop_size, 19
11, 13.97228030059875, pop_size, 19
12, 15.59047537077228, pop_size, 19
13, 17.032470592115143, pop_size, 19
14, 15.0794656340325, pop_size, 19
15, 16.16896399656395, pop_size, 19
16, 18.721246589357314, pop_size, 19
17, 20.529048334662388, pop_size, 19
18, 20.140270828844187, pop_size, 19
19, 19.961525992352836, pop_size, 19
